term,weight
happy,0.1872378893088494
day,0.16759686493252857
mother,0.11041288618545278
mothers,0.10644453089163544
mother day,0.10518595826069636
happy mother,0.08834817193187097
mothers day,0.08229997074694931
happy mothers,0.07474926043239397
mom,0.06591108985045632
birthday,0.030996604349850975
