Cluster,TopTerms,MeanDiff,MaxDiff
0,"http, new, link, phone, com, iphone, use, internet, ok, buy",0.00902962314694141,0.012618818551819419
1,"work, home, today, sleep, day, weekend, morning, bed, going, night",0.013980543933486444,0.026606430157418797
2,"oc, haha, thanks, lol, twitpic, twitpic com, http twitpic, meme, love, cute",0.00496391674946558,0.011170990206987372
3,"like, don, feel, just, ve, know, relationship, want, time, years",0.046853279757591834,0.06344766309850548
4,"headache, sick, hurts, hot, eat, food, hungry, eating, sore, cheese",0.012460660249087966,0.01936910892441301
5,"miss, watching, song, movie, wish, watch, missed, awesome, love, sad",0.008808570695616507,0.01904079755453874
6,"twitter, follow, tweet, followers, tweets, following, tweeting, facebook, follower, thanks",0.03494386411683253,0.12088201923094039
7,"happy, day, mother, mothers, mother day, happy mother, mothers day, happy mothers, mom, birthday",0.09606060021495322,0.17692769296157732
