term,weight
just,0.023035804433946927
day,0.01958316894277087
like,0.018039414216964745
good,0.01560987149418507
work,0.015226437782191907
know,0.01380176183753048
time,0.013181593780197252
got,0.012960542281874746
don,0.012953906710397681
love,0.012935720838346943
today,0.012857273390513407
going,0.012784374930197434
want,0.011916279305116692
really,0.011562797501023923
lol,0.011392242275755356
feel,0.010719249068964763
happy,0.010628169309505735
im,0.009986208159235694
home,0.009841340436887537
think,0.00951633613323618
ve,0.009189077091293097
night,0.009079228221916556
new,0.00907823377354381
miss,0.008637387334235996
thanks,0.008399940873902128
wish,0.0079176153627031
ll,0.007830454693539414
need,0.007638255371406127
haha,0.007630569398084738
sad,0.007382842456101726
